Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Country11,360129,403985,463638,480772,539822,559278,574876,630078,710958,798029,827455,868460,922905,975772,1075627,1172723,1261910,1342724,1384547,1460387,1553360,1606622,1696021,1773636,1845326,1934734,1986847,2023623,2052888,2097841,2117960,2210246,2227971,2315016,2394575,2434276,2486043,2524690,2596163,2685993,2725737,2753629,2819795,2842190,2871824,2937608,3002637,3101684,3179413,3239780,3323030,3402514,3415976,3490217,3505344,3563384,3642498,3663071,3697303,3769868,3858904,3918371,4006437,4093958,4170085,4242820,4276927,4334075,4414162,4429630,4488883,4549327,4639131,4734070,4823584,4902270,4947863,5035187,5071343,5099854,5188844,5202637,5216143,5307881,5359782,5419738,5482037,5535871,5575660,5656974,5719244,5812178,5823054,5865915,5963732,6050626,6075717,6102868,6134801,6173477,6245731
Country12,195156,280442,357720,432188,477517,507409,605946,633489,663489,744426,832738,881662,916527,1004364,1096912,1171508,1221235,1313045,1379098,1391074,1425053,1467322,1499086,1575392,1589541,1649444,1663023,1755834,1801979,1865016,1924472,1979566,2045227,2094658,2135417,2172326,2222175,2282838,2295556,2333764,2415518,2493401,2570536,2597487,2674387,2709862,2806729,2902362,2988214,3019969,3053513,3122040,3184579,3255288,3268439,3331441,3363328,3455119,3552812,3600041,3641524,3741400,3765360,3861493,3918177,4000351,4089525,4164663,4208298,4252735,4263998,4359561,4431615,4443143,4535223,4558611,4628491,4638682,4707021,4747008,4829144,4908818,4997640,5068274,5139693,5190691,5208147,5293572,5324316,5358903,5427219,5461887,5500860,5533089,5583300,5665273,5736326,5765416,5830894,5930117,5958463
Country13,585100,646728,663299,754680,838896,853992,895592,967190,1061405,1079898,1132834,1219409,1244727,1303960,1380178,1451706,1474145,1573908,1617418,1691521,1734915,1804122,1874281,1937341,1959972,2005273,2040340,2053066,2117475,2186190,2220304,2234480,2293102,2330490,2358969,2377447,2414472,2478725,2527576,2565314,2608152,2656310,2726577,2768754,2803277,2857688,2950078,2978391,3004060,3090512,3148016,3223476,3300588,3383765,3482810,3505867,3534566,3546616,3608493,3671105,3700064,3782965,3864862,3914222,3999618,4074985,4131147,4169267,4257843,4305580,4349627,4368893,4391016,4419004,4442981,4475600,4568404,4659005,4701525,4773766,4785186,4800016,4828559,4900280,4970637,4995715,5083842,5171274,5202901,5279333,5292384,5314411,5339689,5384170,5447003,5522530,5544559,5613071,5698424,5729392,5794571
Country14,495700,530853,602197,673827,703188,779773,818033,907224,995113,1053730,1150733,1177516,1189708,1223037,1284095,1307363,1329217,1368299,1456876,1499314,1586761,1643004,1719517,1765760,1806884,1855647,1900520,1977566,2039323,2074428,2155202,2224827,2320134,2343103,2365119,2448338,2475908,2571585,2612732,2655373,2743033,2804590,2874221,2885517,2941511,2988156,3087922,3099991,3165281,3181536,3217048,3308193,3363559,3394428,3431882,3485277,3559509,3639040,3697450,3734150,3766368,3802948,3902271,3969183,4042492,4063474,4090989,4110395,4175084,4233373,4285812,4375867,4398763,4442976,4467226,4491178,4587435,4675902,4704237,4737786,4830073,4910176,4945382,4984746,5035798,5086118,5158703,5220331,5301163,5373500,5406894,5492262,5565212,5656435,5749328,5841225,5888189,5981647,6014792,6031488,6041959
Country15,929288,975420,996434,1025529,1076845,1120703,1153863,1200809,1229437,1267312,1342475,1360743,1417123,1427328,1455427,1514087,1566114,1625488,1697116,1795468,1859245,1921495,1944083,1996410,2087938,2098792,2122928,2140568,2165790,2258922,2354453,2393032,2427125,2479333,2508857,2583305,2610716,2689058,2712369,2747080,2804330,2824064,2893672,2955617,3047127,3109478,3155791,3210999,3230823,3271614,3303110,3373262,3395644,3454653,3513106,3542269,3598175,3695946,3731469,3819815,3913708,3960774,4055734,4145391,4183725,4248874,4328962,4350493,4424061,4483804,4547460,4560019,4589105,4657566,4695421,4744690,4756838,4768537,4867485,4893083,4978814,5055298,5103278,5178713,5274778,5302520,5389988,5465420,5563367,5627947,5703272,5746525,5795458,5820924,5909153,5956716,6031496,6075529,6101490,6178393,6209512
Country16,362822,380172,449933,512750,550781,585495,672645,725534,750653,827806,854391,883524,899855,934517,1007884,1101430,1190918,1226912,1291065,1382891,1432518,1523420,1559874,1646377,1709221,1766119,1825668,1878326,1923015,1984132,2054612,2080703,2178223,2250144,2267855,2338416,2361340,2426758,2489563,2576629,2656051,2684225,2765551,2813927,2831707,2904207,2935908,3021843,3083394,3148551,3242996,3284736,3359320,3416304,3482728,3505065,3540889,3602179,3691173,3721765,3800173,3830917,3912929,4000759,4046177,4061133,4153989,4194354,4239226,4253513,4346499,4367550,4446550,4480274,4541768,4629095,4691931,4702596,4758262,4854911,4891371,4910977,4988123,5048504,5074779,5145212,5236351,5306697,5397998,5444478,5526982,5606826,5662324,5701300,5774056,5865461,5950127,6000410,6086688,6138021,6150683
Country17,937776,1032880,1060546,1099106,1128126,1177382,1237807,1313326,1349972,1449251,1526706,1615547,1660748,1757269,1816215,1870819,1900069,1975643,1993770,2004371,2039620,2105727,2119151,2208773,2259832,2289642,2331754,2360759,2408565,2484661,2520115,2583636,2617123,2650283,2739437,2769126,2783991,2882748,2945891,2984879,3059573,3138829,3177725,3230155,3244920,3308293,3390898,3414211,3480311,3571462,3599313,3650575,3730120,3812418,3896823,3918245,3957231,3984431,4068513,4161145,4213346,4298377,4364206,4418415,4446828,4530995,4594317,4670704,4681105,4710402,4807366,4872238,4944708,5030893,5117276,5140641,5169255,5188188,5263060,5347521,5427380,5487614,5583098,5678401,5722553,5743744,5799635,5839335,5891695,5974790,6010500,6073589,6094450,6183218,6213487,6290889,6390883,6431626,6513711,6597087,6658692
Country18,898972,983488,994082,1021066,1106897,1177362,1260912,1321061,1381184,1391272,1458832,1502100,1589511,1670120,1732020,1828636,1913982,1956772,2025233,2045275,2064257,2118418,2198483,2260931,2306013,2354558,2444195,2509598,2596810,2647011,2679573,2773519,2823597,2847910,2916894,3003301,3076273,3136750,3217679,3256976,3327160,3417037,3492079,3577326,3621169,3690315,3733739,3778399,3842520,3881515,3900839,3996239,4093719,4150426,4163605,4181279,4205514,4260311,4314731,4413045,4444335,4460890,4512244,4592449,4668868,4758023,4798611,4812200,4889791,4927107,5005274,5057523,5142147,5156218,5190123,5287052,5333189,5415105,5477671,5576041,5627672,5667329,5762339,5853014,5935642,5990250,6035528,6086964,6160264,6171161,6199224,6263758,6356167,6382178,6411452,6466044,6507531,6597419,6662273,6714537,6758457
Country19,529116,580977,662677,686980,760337,782364,796083,848211,925223,999915,1018655,1082946,1156486,1181516,1240786,1253674,1270610,1365369,1463936,1557747,1650710,1712365,1749794,1847147,1908097,1933737,1945630,1993635,2015112,2089148,2142373,2183921,2246675,2291461,2379496,2447930,2530429,2555889,2619459,2637052,2669820,2738347,2832878,2918610,2965089,3005207,3079019,3177646,3248206,3332455,3427566,3521741,3612336,3689437,3754822,3773376,3812854,3856905,3915005,3970108,4020609,4065650,4149446,4194772,4248996,4326669,4343478,4393318,4418585,4444104,4485172,4540711,4637292,4674196,4698744,4776590,4795396,4894664,4931212,5002554,5099366,5109521,5183311,5266519,5326071,5349709,5446762,5479793,5528741,5621814,5690576,5707940,5753484,5827932,5925960,5976211,6028215,6109574,6201622,6283446,6373415
Country20,318100,329193,358375,454422,518342,555508,620479,654660,740328,789437,809030,823438,848057,941156,981873,1032541,1107788,1188050,1216485,1302376,1324445,1386068,1469365,1482415,1515831,1579192,1594710,1606775,1654925,1713357,1788882,1872055,1907111,1956347,2055264,2143809,2166536,2202327,2292859,2375066,2423801,2491428,2525396,2570936,2606928,2702907,2765590,2806072,2848279,2866210,2899521,2929216,3023803,3042467,3100726,3123044,3186345,3203808,3257370,3339258,3353285,3385144,3436422,3494765,3565015,3623368,3653522,3678727,3691761,3725942,3768911,3864527,3963777,4034245,4092884,4188598,4202592,4297333,4362713,4388392,4435582,4512310,4597159,4668978,4751689,4832759,4916931,5009170,5093264,5175768,5200666,5299190,5312660,5365834,5391801,5448333,5530248,5586155,5685241,5711790,5766573
Country21,352387,436254,508093,576827,629866,697436,789506,858650,904694,915853,1007768,1085575,1157293,1228985,1266540,1350743,1439825,1515563,1602483,1649990,1676310,1692869,1755917,1785502,1848156,1884524,1950549,2034998,2077340,2138126,2151058,2242123,2337356,2394140,2490032,2518592,2569377,2635280,2669311,2704011,2731358,2774542,2835669,2896546,2921739,2966511,3030214,3051850,3089117,3161702,3217482,3234586,3263902,3317305,3371362,3458111,3525306,3573576,3634182,3665594,3699592,3738117,3771355,3784452,3838333,3935564,3955099,3981698,4061502,4103908,4198884,4280431,4338332,4376172,4418289,4459042,4512663,4538349,4596391,4660421,4714168,4748725,4816678,4842517,4932327,4943064,5011011,5023550,5085830,5167722,5252918,5309884,5338887,5379597,5448913,5528330,5602097,5691928,5785014,5847504,5896623
Country22,882750,960263,1040125,1057020,1146092,1241532,1311982,1395179,1462675,1508270,1595352,1677740,1732857,1830146,1876578,1973656,2064279,2088724,2167437,2195715,2235620,2276870,2372888,2397756,2410595,2431723,2446652,2503060,2585492,2605055,2669375,2698263,2785073,2852967,2926542,2982897,3004806,3069811,3090479,3139241,3173842,3212824,3275342,3298969,3376410,3386416,3466509,3488489,3561568,3624143,3719556,3755258,3826169,3889017,3908610,3922068,4018788,4057722,4128412,4153782,4182514,4262648,4287592,4351668,4420590,4508454,4580523,4638800,4696899,4763551,4793964,4864137,4879916,4962054,5055979,5104897,5174941,5253286,5298361,5347213,5375573,5432005,5524312,5565617,5608038,5653761,5715596,5735713,5794058,5857455,5905798,5967313,6033579,6126464,6179860,6272540,6303904,6393030,6407930,6506000,6571565
Country23,634459,687421,783077,860560,906452,1001940,1046579,1107275,1183997,1246704,1310029,1372344,1382731,1470813,1531710,1618501,1701089,1736004,1814018,1883703,1904196,1961606,2057263,2093910,2149984,2198430,2234010,2252803,2263987,2296567,2360657,2376184,2427504,2503211,2570171,2623002,2658408,2672269,2754787,2784620,2808506,2830442,2894888,2962417,2988566,3045150,3070476,3144031,3203249,3294673,3325087,3376463,3445298,3493730,3525077,3599241,3659022,3754050,3832208,3844532,3920859,4012163,4108750,4156292,4201736,4250533,4309871,4330527,4428638,4446520,4511368,4528773,4582895,4650313,4689966,4772085,4837929,4859951,4914338,4934532,4999309,5079506,5169861,5205119,5247016,5293614,5332401,5359594,5450734,5481825,5515978,5603520,5677851,5714344,5737550,5763339,5861658,5947173,6031051,6073731,6104337
Country24,813106,910957,928213,982737,1059461,1133872,1175647,1196035,1222335,1276769,1327707,1378923,1461630,1491204,1578866,1669233,1699745,1735743,1746485,1805629,1881470,1970728,2056552,2068536,2134306,2222122,2319629,2353733,2405374,2481468,2558926,2629213,2642230,2685737,2737282,2796755,2860219,2931024,2992052,3086409,3149303,3241850,3326028,3419203,3510859,3609968,3688358,3764777,3815118,3871057,3940209,4039142,4049874,4143841,4230816,4320020,4354509,4365734,4395068,4434399,4494433,4509562,4582144,4654703,4713331,4804001,4883632,4977670,5057780,5103789,5196950,5238772,5278584,5323884,5352145,5382666,5433870,5452591,5538970,5597077,5616971,5657738,5686674,5719466,5786179,5863170,5903834,5937502,5981588,6022930,6111192,6153672,6231547,6317865,6417179,6482579,6541981,6582846,6664232,6718968,6793611
Country25,685394,766113,851887,881204,900767,922662,958881,1020456,1036664,1060999,1112315,1156735,1242573,1296079,1362812,1384253,1460050,1508585,1593266,1672137,1732340,1774480,1812597,1861910,1949064,1978401,2011974,2071874,2144136,2197016,2279305,2300194,2375418,2443775,2496127,2556185,2655993,2740641,2781385,2878148,2949471,3000312,3096626,3195636,3232655,3284668,3375396,3391250,3443930,3490340,3523481,3582382,3628866,3713377,3738933,3797714,3829686,3867197,3880677,3931336,4024723,4060855,4080625,4123410,4135295,4222951,4307365,4338390,4434007,4507154,4602567,4613240,4704357,4763649,4851349,4941991,4962719,5039794,5064154,5080406,5145261,5227116,5257843,5303691,5326658,5380630,5398640,5411257,5431523,5477087,5541749,5612169,5701888,5731664,5797498,5834912,5845820,5925058,5997746,6072090,6158246
Country26,813656,841426,903859,972226,1008297,1044944,1135397,1223491,1295939,1360967,1408083,1494334,1513016,1587256,1673768,1757377,1808581,1889508,1973999,2020422,2045656,2113349,2172626,2209397,2249816,2289952,2327057,2404207,2475889,2530962,2602461,2670932,2766652,2805041,2882169,2953533,3043391,3099844,3193028,3209932,3269047,3302472,3365040,3419852,3488605,3580048,3633414,3726065,3765640,3841081,3924055,3978020,4002785,4068205,4139019,4157519,4209300,4243513,4332911,4354626,4400544,4491845,4586025,4657370,4707627,4787599,4870950,4918390,4976220,5031049,5107111,5136063,5177085,5263480,5314298,5394343,5450838,5463865,5477386,5554307,5582542,5596872,5652406,5743839,5804440,5860260,5896594,5984096,6009272,6028039,6059518,6158695,6238962,6274760,6372979,6439190,6495148,6578042,6642468,6658700,6673425
Country27,263719,337175,403455,491633,508172,533785,587362,637221,699068,790092,815952,889394,983255,1077174,1157386,1221379,1301721,1360499,1374554,1430011,1451555,1462488,1542183,1592096,1683212,1767297,1862730,1903443,1955198,1976702,2068106,2099006,2189423,2252642,2333015,2374861,2419498,2516342,2610306,2627297,2667109,2691503,2739684,2811701,2843206,2899941,2955282,3019764,3075839,3117605,3169075,3218772,3301341,3374784,3436807,3452966,3468179,3493738,3504559,3524942,3554938,3611866,3622692,3683791,3729047,3814004,3868842,3893702,3978663,4050377,4070335,4126434,4153402,4181237,4207880,4221918,4284472,4354170,4366583,4394008,4455805,4489989,4530834,4617499,4649109,4724167,4810838,4822538,4893345,4936486,5007543,5019916,5091752,5112959,5153866,5193376,5228062,5243063,5314374,5412265,5455247
Country28,838738,882737,941367,1027871,1082106,1141272,1201449,1238059,1304430,1376300,1467192,1516008,1541099,1610481,1669829,1720435,1743604,1766205,1850225,1916720,1988008,2008083,2062355,2120754,2184166,2231940,2310547,2397232,2419494,2503730,2545654,2573237,2646621,2656623,2693176,2755635,2777244,2861900,2949045,3011948,3082558,3097117,3131738,3218113,3305360,3363832,3385255,3452487,3511502,3553323,3628709,3654990,3721110,3791343,3827291,3862827,3957917,4034158,4124819,4223490,4235049,4314936,4357143,4445476,4486707,4568876,4588450,4656142,4671870,4688294,4716729,4794872,4874316,4907838,4976154,5027525,5066509,5110412,5167197,5191793,5223261,5287239,5354624,5421279,5489993,5585868,5639748,5704755,5750980,5825001,5887726,5965663,6001826,6026928,6037832,6128584,6181728,6272178,6311773,6395361,6439164
Country29,941317,981340,1078584,1145035,1225069,1285257,1310744,1333682,1389216,1475212,1545981,1632451,1693085,1790619,1803767,1829993,1877070,1952710,2022871,2073206,2157996,2213768,2300206,2348903,2414619,2499432,2515207,2584350,2678983,2705373,2717695,2781682,2792721,2836442,2847364,2904192,2957739,3015985,3085549,3118476,3208525,3278639,3366106,3436162,3458899,3518656,3552024,3649717,3703472,3750369,3790784,3867900,3911666,3980758,3995836,4073051,4155085,4241246,4301544,4344427,4389968,4434259,4528561,4571392,4658511,4737635,4825908,4838148,4862406,4947248,4988260,5009532,5073217,5155139,5200446,5223583,5278463,5353415,5404925,5457253,5470527,5495460,5518720,5534330,5587865,5651258,5692910,5792053,5843068,5854388,5910059,5937894,6012492,6090601,6108758,6159728,6197361,6215170,6310842,6359168,6378776
Country30,840092,853182,913070,993623,1093202,1139757,1189922,1267675,1322766,1355021,1381570,1466257,1545015,1563768,1607935,1666223,1684820,1749722,1810750,1857626,1908343,1995808,2057105,2103761,2184211,2277975,2312631,2354060,2421491,2509372,2591739,2651376,2735027,2831243,2883161,2895235,2988149,3031690,3073870,3156677,3239844,3289799,3327206,3402537,3456168,3522664,3592277,3609523,3677875,3719822,3803996,3898624,3988409,4025704,4095421,4132167,4229975,4312017,4369286,4394371,4471152,4485686,4546698,4557045,4625973,4664086,4678387,4713348,4787663,4839751,4912859,4973412,5027943,5095293,5179716,5223811,5271014,5352292,5396880,5407583,5499393,5566952,5660318,5712159,5757408,5817683,5833780,5923992,6008607,6054767,6073613,6113803,6188795,6249451,6304339,6356080,6426034,6501542,6592100,6613316,6668667
Country31,326390,371315,395626,465987,542859,599269,685907,740270,803781,870044,931287,1002849,1062379,1080449,1110533,1121982,1177795,1231374,1311642,1364810,1435817,1467959,1483450,1575132,1651972,1712126,1764619,1852745,1950819,2037853,2126062,2195809,2233291,2245855,2256915,2326679,2406316,2490164,2540903,2585510,2684854,2779491,2868475,2944069,3031340,3120816,3199844,3294166,3306965,3380985,3401479,3482421,3574408,3632864,3698001,3770857,3829884,3901517,3933999,3959210,4057413,4139746,4187107,4267185,4322826,4355992,4425998,4506708,4544942,4624742,4650561,4742413,4812681,4897998,4919785,4930566,4946068,5035579,5093803,5147237,5240345,5332231,5347204,5421381,5452764,5476116,5573851,5641045,5691087,5744113,5772972,5857368,5901262,5987683,6072033,6166178,6234043,6303248,6343746,6361694,6441748
Country32,643639,705418,802072,856335,905398,957359,1007321,1046612,1138015,1154010,1198971,1249897,1262859,1293400,1377402,1393208,1484288,1550063,1622797,1697043,1773921,1822501,1872515,1885468,1939909,1979688,2051656,2075904,2119687,2197200,2245035,2274432,2319520,2382969,2436080,2490250,2582425,2668140,2711666,2728703,2760135,2838984,2899370,2958353,2993200,3037358,3092885,3164575,3181475,3202918,3273636,3349923,3366684,3463713,3484225,3576387,3675245,3764216,3786391,3864254,3933205,3970603,4062599,4124011,4145126,4233009,4332915,4362892,4391399,4461462,4528409,4592505,4654903,4686858,4766725,4814265,4880468,4955579,4971085,5065317,5086626,5178335,5201896,5281739,5317731,5410066,5426092,5483480,5575088,5643884,5689282,5710252,5756439,5784139,5819863,5855699,5908853,5942898,5956422,5983769,6064482
Country33,879427,924334,988529,1012402,1072397,1112588,1196473,1278130,1343404,1379386,1469010,1480556,1567301,1609357,1671623,1757513,1841725,1874621,1963731,2035865,2081697,2105349,2151392,2202043,2287789,2311589,2397368,2468573,2563898,2642012,2712652,2747848,2779298,2794156,2886985,2911518,2931772,3012441,3071322,3092657,3179843,3233069,3317847,3361569,3447195,3501081,3600098,3657745,3712662,3751230,3789218,3842616,3929961,4019075,4117466,4214756,4305580,4375874,4392259,4475163,4486425,4568530,4592633,4690172,4781749,4833010,4849555,4885161,4931784,5021585,5119699,5195500,5285211,5384010,5414940,5464816,5511263,5538727,5614253,5626926,5656043,5697979,5752850,5842143,5859106,5882054,5904052,5962739,5980886,5998932,6016147,6053557,6100764,6175367,6265757,6293064,6335819,6349262,6433259,6505681,6526005
